2020-04-17 15:12:40.476| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:exam_number_style,dataType:-6,dataTypeName:TINYINT,columnSize:3,decimalDigits:0,isNullAble:YES,remarks:考号版式，0：印刷条码，1：粘贴条码，2：卡号填涂,columnDef:null,charOctetLength:0,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.476| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:paper_type,dataType:-6,dataTypeName:TINYINT,columnSize:3,decimalDigits:0,isNullAble:YES,remarks:AB卷版式，0：印刷，1：填涂,columnDef:null,charOctetLength:0,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.477| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:exam_absent,dataType:-6,dataTypeName:TINYINT,columnSize:3,decimalDigits:0,isNullAble:YES,remarks:缺考填涂，0：停用，1：启用,columnDef:null,charOctetLength:0,ordinalPosition:5 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.478| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:write_sign,dataType:-6,dataTypeName:TINYINT,columnSize:3,decimalDigits:0,isNullAble:YES,remarks:手写签名，0：停用，1：启用,columnDef:null,charOctetLength:0,ordinalPosition:6 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.479| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:exam_must_column,dataType:12,dataTypeName:VARCHAR,columnSize:500,decimalDigits:0,isNullAble:YES,remarks:考务必选字段,columnDef:null,charOctetLength:500,ordinalPosition:7 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.481| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:exam_extend_column,dataType:12,dataTypeName:VARCHAR,columnSize:500,decimalDigits:0,isNullAble:YES,remarks:考务扩展字段,columnDef:null,charOctetLength:500,ordinalPosition:8 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.482| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:attention,dataType:-1,dataTypeName:TEXT,columnSize:65535,decimalDigits:0,isNullAble:YES,remarks:注意事项,columnDef:null,charOctetLength:65535,ordinalPosition:9 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.482| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:objective_attention,dataType:-1,dataTypeName:TEXT,columnSize:65535,decimalDigits:0,isNullAble:YES,remarks:客观题注意事项,columnDef:null,charOctetLength:65535,ordinalPosition:10 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.483| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:subjective_attention,dataType:-1,dataTypeName:TEXT,columnSize:65535,decimalDigits:0,isNullAble:YES,remarks:主观题注意事项,columnDef:null,charOctetLength:65535,ordinalPosition:11 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.484| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:update_time,dataType:93,dataTypeName:DATETIME,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:更新时间,columnDef:null,charOctetLength:0,ordinalPosition:14 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.485| main | INFO |  -  | tableName:tc_p_basic_card_rule,columnName:update_id,dataType:-5,dataTypeName:BIGINT,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:更新人,columnDef:null,charOctetLength:0,ordinalPosition:15 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.488| main | INFO |  -  | PK-tableName:tc_p_basic_course,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.494| main | INFO |  -  | tableName:tc_p_basic_course,columnName:course_code,dataType:12,dataTypeName:VARCHAR,columnSize:30,decimalDigits:0,isNullAble:YES,remarks:科目编码,columnDef:null,charOctetLength:30,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.495| main | INFO |  -  | tableName:tc_p_basic_course,columnName:course_name,dataType:12,dataTypeName:VARCHAR,columnSize:50,decimalDigits:0,isNullAble:YES,remarks:科目名称,columnDef:null,charOctetLength:50,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.499| main | INFO |  -  | PK-tableName:tc_p_basic_privilege,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.508| main | INFO |  -  | tableName:tc_p_basic_privilege,columnName:name,dataType:12,dataTypeName:VARCHAR,columnSize:50,decimalDigits:0,isNullAble:YES,remarks:名称,columnDef:null,charOctetLength:50,ordinalPosition:2 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.509| main | INFO |  -  | tableName:tc_p_basic_privilege,columnName:url,dataType:12,dataTypeName:VARCHAR,columnSize:100,decimalDigits:0,isNullAble:YES,remarks:地址,columnDef:null,charOctetLength:100,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.510| main | INFO |  -  | tableName:tc_p_basic_privilege,columnName:type,dataType:12,dataTypeName:VARCHAR,columnSize:50,decimalDigits:0,isNullAble:YES,remarks:类型，MENU：菜单，LINK：权限,columnDef:null,charOctetLength:50,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.510| main | INFO |  -  | tableName:tc_p_basic_privilege,columnName:parent_id,dataType:-5,dataTypeName:BIGINT,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:父id,columnDef:null,charOctetLength:0,ordinalPosition:5 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.511| main | INFO |  -  | tableName:tc_p_basic_privilege,columnName:sequence,dataType:4,dataTypeName:INT,columnSize:10,decimalDigits:0,isNullAble:YES,remarks:序号,columnDef:null,charOctetLength:0,ordinalPosition:6 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.514| main | INFO |  -  | PK-tableName:tc_p_basic_question_rule,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.522| main | INFO |  -  | tableName:tc_p_basic_question_rule,columnName:exam_ab_style,dataType:-6,dataTypeName:TINYINT,columnSize:3,decimalDigits:0,isNullAble:YES,remarks:AB卷版式，0：印刷，1：填涂,columnDef:null,charOctetLength:0,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.523| main | INFO |  -  | tableName:tc_p_basic_question_rule,columnName:exam_missing,dataType:-7,dataTypeName:BIT,columnSize:1,decimalDigits:0,isNullAble:YES,remarks:缺考填涂，0：停用，1：启用,columnDef:null,charOctetLength:0,ordinalPosition:5 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.524| main | INFO |  -  | tableName:tc_p_basic_question_rule,columnName:write_sign,dataType:-7,dataTypeName:BIT,columnSize:1,decimalDigits:0,isNullAble:YES,remarks:手写签名，0：停用，1：启用,columnDef:null,charOctetLength:0,ordinalPosition:6 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.529| main | INFO |  -  | PK-tableName:tc_p_basic_role,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
